Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2015 [YR2015],2020 [YR2020]
Hungary,HUN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,13270,13230,15950
Iceland,ISL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,36270,49940,62410
India,IND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1220,1600,1910
Indonesia,IDN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2530,3430,3870
"Iran, Islamic Rep.",IRN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,6250,5710,3370
Iraq,IRQ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4580,5800,4990
Ireland,IRL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,44850,50390,65750
Isle of Man,IMN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,71570,83990,..
Israel,ISR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,29770,36200,42610
Italy,ITA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,37960,33000,32380
Jamaica,JAM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4390,4700,4670
Japan,JPN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,43910,39380,40810
Jordan,JOR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3520,3950,4310
Kazakhstan,KAZ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,7440,11380,8710
Kenya,KEN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,920,1300,1840
Kiribati,KIR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2040,3450,2910
"Korea, Dem. People's Rep.",PRK,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..
"Korea, Rep.",KOR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,22290,28720,32930
Kosovo,XKX,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3150,3930,4440
Kuwait,KWT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,42490,41820,..
Kyrgyz Republic,KGZ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,850,1180,1180
Lao PDR,LAO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1000,1980,2490
Latvia,LVA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,12650,15110,17900
Lebanon,LBN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,7470,7290,4660
Lesotho,LSO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1270,1310,1210
Liberia,LBR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,460,650,600
